brand;code;series;model;kind;size;description
sabian;25005X;AAX;AAX Stage Performance Set;SET;;14' Stage Hats, 16' Stage Crash,20' Stage Ride
sabian;25005XE;AAX;AAX Effects Pack;SET;;10' Splash, 18' Chinese, FREE Towel
sabian;PW1;AAX;AAX Praise & Worship Pack;SET;;11' AAX X-Plosion Splash, 13' AAX Stage Hats, 16' AAX X-Plosion Fast Crash, 21' AAX Raw Bell Dry Ride, 18' AAX X-Plosion Fast Crash
sabian;25002XMP;AAX;Max Splash Set;SET;;Max Splash Set
sabian;12280XPH;HHX;Phoenix;Ride;22;Modern players who thrive on exploring a new sonic range will love the dark, mature tones that rise Phoenix-like from this special Ride.
sabian;12012XN;HHX;Stage Ride;Ride;20;Dark, crisp stroke responses, controlled spread, with raw, hammered bell.
sabian;12189XN;HHX;Groove Ride;Ride;21;A funky blend of stroke and tone in a cymbal with simmering sound and feel.
sabian;12012XEB;HHX;Evolution Ride;Ride;20;Crisp attack and warm undertones combine in a shimmering ride with crash capabilty.
sabian;12112XEB;HHX;Evolution Ride;Ride;21;Crisp attack and warm undertones combine in a shimmering ride with crash capabilty.
sabian;12085XN;HHX;Manhattan Jazz Ride;Ride;20;A subtle but simmering blend of dark tone in this highly responsive model lets you dig in.
sabian;12285XN;HHX;Manhattan Jazz Ride;Ride;22;A subtle but simmering blend of dark tone in this highly responsive model lets you dig in.
sabian;12172XN;HHX;Raw Bell Dry Ride;Ride;21;A classic SABIAN design, the RBDR puts out crisp, hot sticking wherever your stick lands, from bow to unlathed bell. A ride for all styles.
sabian;12010XLN;HHX;Legacy Ride;Ride;20;This light, crashable model delivers stick definition, wash and darkness with an unlathed control band, limiting spread
sabian;12110XLN;HHX;Legacy Ride;Ride;21;This light, crashable model delivers stick definition, wash and darkness with an unlathed control band, limiting spread
sabian;12233XLN;HHX;Legacy Heavy Ride;Ride;22;Stick articulation remains semi-dry and crisp over a cushion of warm tone.
sabian;12118XNJD;HHX;3-Point Ride;Ride;21;Based on an idea from jazz giant Jack DeJohnette, offers dark, smokey tone with varying sound nuances across  3 distinct playing surfaces.
sabian;12112XNJM;HHX;Fierce Ride;Ride;21;Designed for Jojo Mayer. A complex blend of raw tone and semi-dry ‘tah’ stick sound combines for a fierce yet controllable ride.
sabian;119OMX;HHX;Omni;hybrid;19;Designed with Jojo Mayer, OMNI is a revolutionary new cymbal design – never has so much versatility existed in just one cymbal.
sabian;122OMX;HHX;Omni;hybrid;22;Designed with Jojo Mayer, OMNI is a revolutionary new cymbal design – never has so much versatility existed in just one cymbal.
